 x	 y		value_r		value_g			m_r5		m_g5
102	327		44.8125		35.625		29.5632515683		29.9965359009
111	374		25.0938		7.21875		28.1692643497		29.1449541057
114	214		19.0625		16.8438		29.1919082993		29.4659254013
131	324		9.34375		7.66406		28.1868379127		28.5322340053
159	305		19.25		14.9531		28.7597661047		29.1931574051
167	258		11.0312		3.22656		27.3370358794		28.4288785243
167	428		5.28906		1.5918		26.5710803442		27.4755313892
181	91		1.11133		0.517578		24.9804872198		25.812296913
182	302		13.3594		11.5625		28.5276863902		28.9879923892
184	98		5.8125		2.05469		26.6091034171		27.5775894817
185	152		1.42383		0.190918		24.5427165074		25.9884409909
186	201		3.84766		1.34766		26.7219591104		27.648171361
188	168		16.5		8.45312		28.3544799678		29.0757470335
19	278		7.10156		5.15625		27.3744226682		27.7765941064
193	336		71.625		52.75		29.8834577467		30.3905607805
197	71		8.29688		1.76172		26.7428418993		28.0824225641
197	87		11.0625		4.64844		27.2780349074		28.160780868
197	95		1.3125		0.42627		24.7775559596		25.9526887216
198	223		29.4375		21.6562		30.5274583547		30.9029256045
198	253		4.96875		1.23047		26.3023270764		27.41160769
201	168		17.1875		47.1875		30.1197437549		29.9712690177
206	121		13.3438		6.44531		27.7722914838		28.5967423741
210	313		19.625		13.625		28.6743504387		29.1699497161
212	337		48.125		16.875		29.2768137079		30.2517322874
214	178		24.9688		8.78125		28.5492484932		29.3073999591
215	229		1.66992		0.887695		26.1269860026		26.8999176414
216	217		2.04688		0.994141		26.273100841		27.0244757991
217	127		53.4375		37.25		29.5544490246		29.9198590322
218	110		28.8125		26.5625		29.4100097061		29.713797936
219	287		1.75781		0.883789		26.8643767863		27.2963668853
220	376		19.0312		7.82031		28.1421388162		28.8777432864
221	212		13.8438		5.88281		27.7569606171		28.6142464064
224	70		12.5938		6.6875		27.8615786295		28.4602614491
225	67		3.81641		2.13281		27.6451144627		28.2680403918
226	270		23.6562		177.0		31.7866301821		30.5940471378
226	296		25.7188		31.6875		30.7585059651		30.8492583246
228	307		14.25		11.4062		28.7710878189		29.0873096687
230	69		2.03906		0.818359		25.5672423399		26.4840879321
233	180		3.03125		1.16211		25.9831754026		27.1597742959
235	287		1.38867		0.621094		25.6449975086		26.6405586311
236	226		15.7969		5.53906		28.1784698785		28.9651876882
239	212		16.4688		13.7812		28.8413716948		29.1386435444
239	222		92.125		29.875		29.8245423824		30.5646973996
241	73		2.47266		0.449707		25.1800592127		26.986933705
245	243		42.75		33.75		29.8047469401		30.0951002261
245	317		6.25781		3.71875		27.2281932565		27.7685928585
247	102		37.625		21.0		29.0474123377		29.5357492084
247	70		0.713867		0.384766		25.0422052981		25.7625332745
250	352		2.77734		1.26758		26.0276152834		27.1192475799
251	210		34.875		18.1562		29.406407181		30.0913637468
256	128		21.875		11.9375		28.2437284666		29.1371188416
256	214		40.625		14.2188		28.9679343162		29.6729045954
259	182		4.1875		1.67188		26.2003299568		27.2421058307
263	271		6.78125		1.75195		26.6491239603		27.7636139532
263	88		15.3438		8.35938		28.4060496172		29.0294432735
265	221		18.2812		8.60938		28.3210041621		29.0275494102
267	197		0.683594		0.14917		24.4177381985		25.3080906672
270	113		17.4688		11.5312		28.2641921268		28.9286780413
271	346		4.52344		1.17383		26.0006904739		27.2473286513
274	317		34.875		9.03125		28.4697430429		29.353675519
276	261		35.1875		31.3438		29.3773177393		29.8414341608
278	89		5.72656		2.35156		26.63648539		27.5364575077
28	424		5.5		4.0625		27.5649795762		27.9896821348
281	280		8.95312		6.46094		27.6980024173		28.2654240084
292	386		3.33594		2.09766		26.4500470134		27.3580674251
296	145		8.89062		4.69531		27.5431906017		28.4024767193
297	197		3.67578		0.316406		25.0515982917		27.1737894606
300	106		1.04102		0.418945		25.2512990819		26.0858970555
301	373		5.60156		1.41992		26.1770709382		27.4358280372
304	257		14.3438		12.2188		28.7208123503		29.1352863674
308	207		2.60156		0.761719		26.1294475425		27.1763280889
309	260		1.0625		0.552734		25.2133135641		26.2295265344
310	185		13.2656		6.97656		28.222081374		28.8120994129
312	416		9.34375		1.29492		26.2290352649		28.0033399583
314	67		25.75		13.0312		28.7407767516		29.3174863759
317	185		35.5625		11.0156		28.8259435377		29.5689280911
32	473		32.5625		110.75		30.6946148907		30.3370064487
320	273		3.26562		2.41406		26.6138052441		27.3136079621
326	170		32.125		6.94531		28.089098976		29.3365036437
330	379		5.63281		1.67188		26.4578621061		27.4210058976
334	256		15.125		5.04688		27.9313960204		28.6636934166
